,0,1,2
155,Chicago Police department is complaining that the city is requiring them to show vaccination status. Are there any… https://t.co/MQEDov9jk4,danimalcrackers,Chicago
156,Way to go PA! “Pennsylvania hits 70% COVID-19 vaccination rate for adults” https://t.co/TXqoUMjfQN,lothar97,El Segundo
157,"#COVID19 vaccinated people are less likely to have severe disease, be hospitalized, spread the virus, or die from C… https://t.co/Z0lZclnqXw",DavidEpsteinMD,"Los Angeles, CA"
158,@irothenbaum @yemitula @EminenceUsagi @JitterbugPerf Sir the vaccine does not stop you from catching it or passing… https://t.co/d5UjxvDjxn,CPCJuiceBox,New York City Baby! 
159,"Mayor Tim Keller says he will not make ""false promises"" but encourages vaccination. #ABQ",paulolim,
160,"Manny Gonzales affirms opposition to vaccination mandates, noting, ""at the local level."" #ABQ",paulolim,
161,Vaccination in the Hamptons. https://t.co/TfvbnAg12k,raydowd,New York
162,"@jamieleecurtis We just saw a special @VisitNC vaccination early screening of ""Halloween Kills."" So awesome. Thank… https://t.co/EcwyiuUqKT",heyyCrystalLynn,"Raleigh, NC"
163,@JumboElliott76 Totally agree that companies that receive federal funding mandate complete Vaccination for all empl… https://t.co/iBLKJ8KUkG,terroid06,Los Angeles
164,"@CNN Yes, this is something the city of Chicago really needs. I guess all of the murders and shootings that occur a… https://t.co/ujQtsT83JI",fitz2022,
165,So LA is doing the right thing at least as far as the kids are concerned... they must be protected and we KNOW peop… https://t.co/cZfyuxmlyQ,heatherwritesss,Southern California
166,"In a pilot is not willing to get their #COVID19 vacation, just remove their flight certification.  That goes for… https://t.co/g7WKTNMoCx",Marknovakusa,Ft Worth
167,"At an event indoors that required proof of vaccination + masks. 

As someone who has indoor dined less than five ti… https://t.co/NIO2zrFOhf",JWLevitt,"Boston, MA"
168,"@savanahjazzy @JackPosobiec That's your opinion Jasmine, if MA if the vaccination works so well why do people still… https://t.co/3feO8if6dn",TheGreenRoomWA,Tacoma WA and Bremerton Wa
169,One vaccination is never enough.,CiskoM,"Los Angeles, CA"
170,"We will be a Covid testing &amp; Vaccination site on Friday, October 15th 1p-430p @ Greater New Mount Moriah Baptist Ch… https://t.co/ngMFM5ubbJ",GrtrNewMtMoriah,"Detroit, MI"
171,"@POTUS How’s that going to work when other countries with 90% vaccination rates are having huge outbreaks, and your… https://t.co/ffXH3ClVWs",tmornini,
172,"@taylorjharris @TerryKilby1 @Melody69Lynn @AmoneyResists Their full vaccination rate is about 55%, just like the co… https://t.co/sOENQQuPk0",sparklebat,
173,Hey @KyrieIrving I seen your video on vaccination lol 😂 Learn how to record video 📹 on a phone 📱 https://t.co/3Kq6z7UxjR,DukeOfNE,Boston Massachusetts 02124 
174,Women rights have ABSOLUTELY NOTHING to do with this 😒 And us women barely have control of our bodies. Kyrie has th… https://t.co/nrVXLrlJsM,xohoneydaniels,𝐂𝐢𝐭𝐲 𝐨𝐟 𝐀𝐧𝐠𝐞𝐥𝐬
175,@vicky_dollysmom That is a tricky situation. I guess just make sure your pa stays up to date on his vaccination. I… https://t.co/orYmamlsFw,Loud_N_Liberal,"Lake County, Florida"
176,@CCEA_SJC @CCSD_Trustees @SuptJaraCCSD @GovSisolak @JasonFrierson @Nicole4Nevada @repdinatitus @RepSusieLee if it w… https://t.co/B96PM1Oinw,ChangPants,Nevada
177,"@LoveThePuck Well, let me preface that if mandates are looming that means vaccination rates are dipping while Covid… https://t.co/YD7J6J2q3a",BySeanMalcolm,From the County of Kings
178,"@GeorgiaLogCabin What a pathetic article.  Anyway, Biden is not responsible for these deaths. He has done all he ca… https://t.co/5tGcx0NEea",jolefson50,"Westtown, NY"
179,We are proud to provide flu shots for the @Disney Corporate Medical Department! In addition to our COVID testing +… https://t.co/bt3lmmWWhL,Visit_Healthcar,
180,"Is there a black market for fake vaccination cards yet???

Cuz ima need a plug…

#covid #partylikearockstar #hypodermicneedle #fakeID",ambassador_chad,
181,You’ll have to pay to convert your proof of vaccination for Switzerland https://t.co/KcFwfamNnH,deshatanner,"New Orleans, LA"
182,@JKVardon I remember lining up in the school gym to get vaccination. Than again when the Sabin became available. Sc… https://t.co/DpOuYQEpLk,Alan96676775,"Martha’s Vineyard, MA"
183,@VABVOX Yes. I also encourage people to get a shingles vaccination. I’m 53 and got shingles the day before Easter l… https://t.co/AT6V95tJRT,CAFA1968,"San Antonio, TX"
184,"Vaccination Nation: The Latest on Texas, Kyrie Irving &amp; Booster Shots | ... https://t.co/6ax2mSaYa1 via @YouTube",della_rico,"Bloomington, CA"
185,Please bring proof of vaccination to the bukkake,HunterFatStacks,Texas Representer
186,"The Mexican delegation's presentations about their #COVID response were super-interesting... covering surveillance,… https://t.co/WzDxi9sNX1",willhumble_az,"Arizona, USA"
187,Does anyone have a list of restaurants that do NOT require vaccination cards?,rturnofthemac_,ConstentlyEvolving. 
188,@MeekMill MSG is not letting no one in without a vaccination card. That is the rules straight up..,RE2PECTNYC,
189,@DrTomFrieden But getting them to recognize that a COVID 19 vaccination would be a good idea is very hard!,drsala2010,Alabama USA
190,They make you heathens show proof of vaccination to even eat in the mall food court,LuvOfALibra,"Kansas City, MO"
